%Frequency (Hz)	Switch Term Drift (dB)	Directivity Drift (dB)	Tracking Drift Mag (dB)	Tracking Drift Phase (°)	Symmetry Drift Mag (dB)	Symmetry Drift Phase (°)	Match Drift (dB)	Isolation Drift (dB)
1.3e+08	-52.659	-52.659	0.12749	0.44565	0.1355	0.45164	-52.659	-120
1.3859e+08	-51.286	-51.286	0.13677	0.51048	0.14403	0.52051	-51.286	-120
1.4718e+08	-53.688	-53.688	0.12785	0.45961	0.13719	0.49589	-53.688	-120
1.5576e+08	-53.28	-53.28	0.13976	0.5515	0.1409	0.54033	-53.28	-120
1.6435e+08	-55.613	-55.613	0.14106	0.48871	0.14875	0.51226	-55.613	-120
1.7294e+08	-54.139	-54.139	0.15005	0.54577	0.15353	0.52354	-54.139	-120
1.8152e+08	-56.077	-56.077	0.13504	0.50661	0.13909	0.49414	-56.077	-120
1.9011e+08	-55.814	-55.814	0.14586	0.53199	0.15034	0.5035	-55.814	-120
1.987e+08	-56.906	-56.906	0.1408	0.51637	0.1426	0.50151	-56.906	-120
2.0729e+08	-61.944	-61.944	0.13842	0.53426	0.13963	0.53932	-61.944	-120
2.1588e+08	-59.806	-59.806	0.12353	0.51007	0.12591	0.49241	-59.806	-120
2.2446e+08	-59.193	-59.193	0.13435	0.49124	0.14357	0.47413	-59.193	-120
2.3305e+08	-59.594	-59.594	0.13637	0.59607	0.13496	0.60487	-59.594	-120
2.4164e+08	-59.08	-59.08	0.15142	0.61666	0.16414	0.62128	-59.08	-120
2.5022e+08	-60.542	-60.542	0.15063	0.54917	0.15461	0.5383	-60.542	-120
2.5881e+08	-58.076	-58.076	0.1668	0.62826	0.17315	0.63254	-58.076	-120
2.674e+08	-56.324	-56.324	0.15072	0.58758	0.15548	0.60016	-56.324	-120
2.7599e+08	-57.806	-57.806	0.13673	0.60318	0.1417	0.58322	-57.806	-120
2.8458e+08	-58.719	-58.719	0.14497	0.63303	0.15388	0.63644	-58.719	-120
2.9316e+08	-58.001	-58.001	0.13545	0.53477	0.14588	0.42956	-58.001	-120
3.0175e+08	-59.049	-59.049	0.14334	0.64053	0.14819	0.56912	-59.049	-120
3.1034e+08	-59.211	-59.211	0.15049	0.505	0.15012	0.47941	-59.211	-120
3.1892e+08	-58.415	-58.415	0.14985	0.60004	0.15556	0.55417	-58.415	-120
3.2751e+08	-58.474	-58.474	0.13398	0.55238	0.13658	0.49625	-58.474	-120
3.361e+08	-58.493	-58.493	0.13845	0.61888	0.14191	0.59533	-58.493	-120
3.4469e+08	-57.727	-57.727	0.15396	0.61639	0.1662	0.58627	-57.727	-120
3.5328e+08	-58.761	-58.761	0.15969	0.64471	0.16429	0.62241	-58.761	-120
3.6186e+08	-59.457	-59.457	0.13797	0.5939	0.14273	0.54528	-59.457	-120
3.7045e+08	-58.753	-58.753	0.12185	0.55162	0.1246	0.54512	-58.753	-120
3.7904e+08	-60.506	-60.506	0.12867	0.5894	0.12725	0.56036	-60.506	-120
3.8762e+08	-61.319	-61.319	0.15152	0.60274	0.15082	0.59213	-61.319	-120
3.9621e+08	-62.758	-62.758	0.16645	0.596	0.16963	0.53531	-62.758	-120
4.048e+08	-60.488	-60.488	0.16127	0.59337	0.1631	0.56447	-60.488	-120
4.1339e+08	-62.68	-62.68	0.1728	0.67486	0.17653	0.6211	-62.68	-120
4.2198e+08	-63.988	-63.988	0.16085	0.59076	0.16438	0.56086	-63.988	-120
4.3056e+08	-63.482	-63.482	0.16935	0.61788	0.1757	0.55162	-63.482	-120
4.3915e+08	-63.554	-63.554	0.17037	0.57097	0.17324	0.52674	-63.554	-120
4.4774e+08	-62.729	-62.729	0.16585	0.70256	0.16644	0.63864	-62.729	-120
4.5632e+08	-63.182	-63.182	0.16413	0.63101	0.16401	0.55883	-63.182	-120
4.6491e+08	-62.284	-62.284	0.17104	0.628	0.1743	0.56661	-62.284	-120
4.735e+08	-63.472	-63.472	0.16865	0.60621	0.16669	0.5478	-63.472	-120
4.8209e+08	-63.44	-63.44	0.17084	0.60593	0.17339	0.54977	-63.44	-120
4.9068e+08	-63.877	-63.877	0.18302	0.70513	0.18497	0.66224	-63.877	-120
4.9926e+08	-64.791	-64.791	0.17378	0.64115	0.17657	0.59505	-64.791	-120
5.0785e+08	-62.143	-62.143	0.18107	0.61302	0.17826	0.57347	-62.143	-120
5.1644e+08	-60.824	-60.824	0.19063	0.63996	0.19276	0.6046	-60.824	-120
5.2502e+08	-59.693	-59.693	0.1735	0.69424	0.18219	0.65816	-59.693	-120
5.3361e+08	-59.058	-59.058	0.18399	0.67905	0.18247	0.58961	-59.058	-120
5.422e+08	-58.866	-58.866	0.18111	0.71086	0.18919	0.62677	-58.866	-120
5.5079e+08	-57.852	-57.852	0.19406	0.71071	0.20042	0.58212	-57.852	-120
