#Procedure: <__main__.MeasureVNAPower>
#Parameters:
#	Attenuator: 0 dB
#	VNA Port: 2
#	Power Sensor Settling Time: 5.0e-01 s
#	Start Frequency: 1.3e+08 Hz
#	Frequency Step: 1e+08 Hz
#	Stop Frequency: 1.8e+10 Hz
#	VNA Power: -20 dBm
#Data:
Frequency,Power
130000000.0,-20.25
230000000.0,-21.45
330000000.0,-20.93
430000000.0,-20.77
530000000.0,-20.88
630000000.0,-21.02
730000000.0,-21.03
830000000.0,-21.05
930000000.0,-21.14
1030000000.0,-21.24
1130000000.0,-21.27
1230000000.0,-21.22
1330000000.0,-21.19
1430000000.0,-21.17
1530000000.0,-21.16
1630000000.0,-21.11
1730000000.0,-21.11
1830000000.0,-21.25
1930000000.0,-21.71
2030000000.0,-21.71
2130000000.0,-20.41
2230000000.0,-20.39
2330000000.0,-20.43
2430000000.0,-20.46
2530000000.0,-20.48
2630000000.0,-20.53
2730000000.0,-20.63
2830000000.0,-20.71
2930000000.0,-20.79
3030000000.0,-20.88
3130000000.0,-20.95
3230000000.0,-21.02
3330000000.0,-21.07
3430000000.0,-21.13
3530000000.0,-21.19
3630000000.0,-21.24
3730000000.0,-21.29
3830000000.0,-21.34
3930000000.0,-21.39
4030000000.0,-20.6
4130000000.0,-20.66
4230000000.0,-20.69
4330000000.0,-20.72
4430000000.0,-20.73
4530000000.0,-20.76
4630000000.0,-20.8
4730000000.0,-20.84
4830000000.0,-20.87
4930000000.0,-20.9
5030000000.0,-20.93
5130000000.0,-20.96
5230000000.0,-21.0
5330000000.0,-21.03
5430000000.0,-21.06
5530000000.0,-21.09
5630000000.0,-21.11
5730000000.0,-21.15
5830000000.0,-21.17
5930000000.0,-21.2
6030000000.0,-21.23
6130000000.0,-20.55
6230000000.0,-20.62
6330000000.0,-20.64
6430000000.0,-20.65
6530000000.0,-20.66
6630000000.0,-20.67
6730000000.0,-20.67
6830000000.0,-20.69
6930000000.0,-20.7
7030000000.0,-20.71
7130000000.0,-20.74
7230000000.0,-20.76
7330000000.0,-20.79
7430000000.0,-20.83
7530000000.0,-20.86
7630000000.0,-20.89
7730000000.0,-20.92
7830000000.0,-20.95
7930000000.0,-20.96
8030000000.0,-20.96
8130000000.0,-20.98
8230000000.0,-20.99
8330000000.0,-20.09
8430000000.0,-20.13
8530000000.0,-20.12
8630000000.0,-20.13
8730000000.0,-20.13
8830000000.0,-20.11
8930000000.0,-20.12
9030000000.0,-20.13
9130000000.0,-20.14
9230000000.0,-20.15
9330000000.0,-20.16
9430000000.0,-20.17
9530000000.0,-20.16
9630000000.0,-20.17
9730000000.0,-20.18
9830000000.0,-20.2
9930000000.0,-20.23
10030000000.0,-20.26
10130000000.0,-20.28
10230000000.0,-20.27
10330000000.0,-20.25
10430000000.0,-20.26
10530000000.0,-20.24
10630000000.0,-20.21
10730000000.0,-20.19
10830000000.0,-20.2
10930000000.0,-20.21
11030000000.0,-20.2
11130000000.0,-20.24
11230000000.0,-20.24
11330000000.0,-20.25
11430000000.0,-20.24
11530000000.0,-20.27
11630000000.0,-20.26
11730000000.0,-20.28
11830000000.0,-20.31
11930000000.0,-20.32
12030000000.0,-20.33
12130000000.0,-20.32
12230000000.0,-20.34
12330000000.0,-20.33
12430000000.0,-20.35
12530000000.0,-20.36
12630000000.0,-18.39
12730000000.0,-18.61
12830000000.0,-18.23
12930000000.0,-18.43
13030000000.0,-18.42
13130000000.0,-18.57
13230000000.0,-18.33
13330000000.0,-18.32
13430000000.0,-18.43
13530000000.0,-18.32
13630000000.0,-18.48
13730000000.0,-18.47
13830000000.0,-18.54
13930000000.0,-18.47
14030000000.0,-18.4
14130000000.0,-18.45
14230000000.0,-18.4
14330000000.0,-18.61
14430000000.0,-18.48
14530000000.0,-18.45
14630000000.0,-18.35
14730000000.0,-18.47
14830000000.0,-18.51
14930000000.0,-18.39
15030000000.0,-18.44
15130000000.0,-18.48
15230000000.0,-18.29
15330000000.0,-18.4
15430000000.0,-18.25
15530000000.0,-18.33
15630000000.0,-18.31
15730000000.0,-18.36
15830000000.0,-18.36
15930000000.0,-18.32
16030000000.0,-18.32
16130000000.0,-18.18
16230000000.0,-18.27
16330000000.0,-18.21
16430000000.0,-18.39
16530000000.0,-18.28
16630000000.0,-18.33
16730000000.0,-18.25
16830000000.0,-18.28
16930000000.0,-18.47
17030000000.0,-18.25
17130000000.0,-18.48
17230000000.0,-18.27
17330000000.0,-18.34
17430000000.0,-18.35
17530000000.0,-18.42
17630000000.0,-18.1
17730000000.0,-18.35
17830000000.0,-18.24
17930000000.0,-18.27
