#Procedure: <__main__.MeasureVNAPower>
#Parameters:
#	Attenuator: 3 dB
#	VNA Port: 1
#	Power Sensor Settling Time: 5.0e-01 s
#	Start Frequency: 1.3e+08 Hz
#	Frequency Step: 1e+08 Hz
#	Stop Frequency: 1.8e+10 Hz
#	VNA Power: -20 dBm
#Data:
Frequency,Power
130000000.0,-20.336
230000000.0,-21.631
330000000.0,-21.119
430000000.0,-20.836
530000000.0,-21.517
630000000.0,-21.694
730000000.0,-21.008
830000000.0,-21.412
930000000.0,-21.472
1030000000.0,-21.642
1130000000.0,-21.844
1230000000.0,-20.974
1330000000.0,-21.08
1430000000.0,-21.308
1530000000.0,-21.551
1630000000.0,-21.479
1730000000.0,-21.577
1830000000.0,-21.742
1930000000.0,-21.907
2030000000.0,-21.9
2130000000.0,-20.695
2230000000.0,-20.875
2330000000.0,-20.96
2430000000.0,-20.875
2530000000.0,-21.041
2630000000.0,-21.088
2730000000.0,-21.173
2830000000.0,-21.26
2930000000.0,-21.24
3030000000.0,-21.308
3130000000.0,-21.378
3230000000.0,-21.369
3330000000.0,-21.45
3430000000.0,-21.514
3530000000.0,-21.527
3630000000.0,-21.569
3730000000.0,-21.557
3830000000.0,-21.642
3930000000.0,-21.694
4030000000.0,-20.79
4130000000.0,-20.812
4230000000.0,-20.894
4330000000.0,-20.927
4430000000.0,-20.894
4530000000.0,-20.986
4630000000.0,-20.987
4730000000.0,-21.01
4830000000.0,-21.054
4930000000.0,-21.038
5030000000.0,-21.088
5130000000.0,-21.103
5230000000.0,-21.118
5330000000.0,-21.144
5430000000.0,-21.162
5530000000.0,-21.205
5630000000.0,-21.22
5730000000.0,-21.234
5830000000.0,-21.243
5930000000.0,-21.455
6030000000.0,-21.376
6130000000.0,-20.723
6230000000.0,-20.695
6330000000.0,-20.763
6430000000.0,-20.727
6530000000.0,-20.725
6630000000.0,-20.795
6730000000.0,-20.717
6830000000.0,-20.718
6930000000.0,-20.843
7030000000.0,-20.888
7130000000.0,-20.739
7230000000.0,-20.843
7330000000.0,-20.79
7430000000.0,-21.075
7530000000.0,-20.798
7630000000.0,-20.907
7730000000.0,-20.851
7830000000.0,-20.94
7930000000.0,-20.827
8030000000.0,-20.888
8130000000.0,-20.858
8230000000.0,-20.855
8330000000.0,-19.996
8430000000.0,-19.975
8530000000.0,-20.0
8630000000.0,-20.209
8730000000.0,-19.923
8830000000.0,-19.929
8930000000.0,-20.058
9030000000.0,-20.039
9130000000.0,-20.108
9230000000.0,-19.964
9330000000.0,-20.007
9430000000.0,-19.918
9530000000.0,-20.026
9630000000.0,-20.147
9730000000.0,-20.211
9830000000.0,-20.169
9930000000.0,-20.137
10030000000.0,-20.496
10130000000.0,-20.312
10230000000.0,-20.098
10330000000.0,-20.216
10430000000.0,-20.412
10530000000.0,-20.176
10630000000.0,-20.16
10730000000.0,-20.266
10830000000.0,-20.396
10930000000.0,-20.307
11030000000.0,-20.329
11130000000.0,-20.469
11230000000.0,-20.213
11330000000.0,-20.254
11430000000.0,-20.199
11530000000.0,-20.446
11630000000.0,-20.19
11730000000.0,-20.231
11830000000.0,-20.357
11930000000.0,-20.275
12030000000.0,-20.347
12130000000.0,-20.349
12230000000.0,-20.516
12330000000.0,-20.575
12430000000.0,-20.468
12530000000.0,-20.552
12630000000.0,-18.523
12730000000.0,-18.514
12830000000.0,-18.389
12930000000.0,-18.471
13030000000.0,-18.782
13130000000.0,-18.504
13230000000.0,-18.809
13330000000.0,-18.664
13430000000.0,-18.48
13530000000.0,-18.503
13630000000.0,-18.574
13730000000.0,-18.755
13830000000.0,-18.528
13930000000.0,-18.626
14030000000.0,-18.691
14130000000.0,-18.571
14230000000.0,-18.674
14330000000.0,-18.865
14430000000.0,-18.665
14530000000.0,-18.565
14630000000.0,-18.579
14730000000.0,-18.482
14830000000.0,-18.495
14930000000.0,-18.447
15030000000.0,-18.44
15130000000.0,-18.598
15230000000.0,-18.423
15330000000.0,-18.472
15430000000.0,-18.434
15530000000.0,-18.641
15630000000.0,-18.732
15730000000.0,-18.659
15830000000.0,-18.824
15930000000.0,-18.858
16030000000.0,-19.138
16130000000.0,-18.751
16230000000.0,-18.944
16330000000.0,-18.88
16430000000.0,-18.876
16530000000.0,-18.968
16630000000.0,-18.68
16730000000.0,-18.729
16830000000.0,-18.57
16930000000.0,-18.9
17030000000.0,-18.71
17130000000.0,-18.733
17230000000.0,-18.751
17330000000.0,-18.766
17430000000.0,-18.886
17530000000.0,-18.702
17630000000.0,-18.456
17730000000.0,-18.646
17830000000.0,-18.756
17930000000.0,-18.724
