#Procedure: <__main__.MeasureVNAPower>
#Parameters:
#	Attenuator: 3 dB
#	VNA Port: 2
#	Power Sensor Settling Time: 5.0e-01 s
#	Start Frequency: 1.3e+08 Hz
#	Frequency Step: 1e+08 Hz
#	Stop Frequency: 1.8e+10 Hz
#	VNA Power: -20 dBm
#Data:
Frequency,Power
130000000.0,-20.323
230000000.0,-21.633
330000000.0,-21.114
430000000.0,-20.83
530000000.0,-21.508
630000000.0,-21.692
730000000.0,-21.01
830000000.0,-21.401
930000000.0,-21.456
1030000000.0,-21.643
1130000000.0,-21.856
1230000000.0,-20.915
1330000000.0,-21.067
1430000000.0,-21.302
1530000000.0,-21.51
1630000000.0,-21.461
1730000000.0,-21.574
1830000000.0,-21.742
1930000000.0,-21.898
2030000000.0,-21.859
2130000000.0,-20.689
2230000000.0,-20.856
2330000000.0,-20.928
2430000000.0,-20.865
2530000000.0,-21.041
2630000000.0,-21.073
2730000000.0,-21.169
2830000000.0,-21.251
2930000000.0,-21.226
3030000000.0,-21.287
3130000000.0,-21.387
3230000000.0,-21.376
3330000000.0,-21.46
3430000000.0,-21.516
3530000000.0,-21.519
3630000000.0,-21.584
3730000000.0,-21.567
3830000000.0,-21.664
3930000000.0,-21.673
4030000000.0,-20.812
4130000000.0,-20.814
4230000000.0,-20.892
4330000000.0,-20.927
4430000000.0,-20.9
4530000000.0,-20.983
4630000000.0,-21.012
4730000000.0,-21.017
4830000000.0,-21.049
4930000000.0,-21.032
5030000000.0,-21.122
5130000000.0,-21.094
5230000000.0,-21.109
5330000000.0,-21.139
5430000000.0,-21.141
5530000000.0,-21.179
5630000000.0,-21.196
5730000000.0,-21.221
5830000000.0,-21.234
5930000000.0,-21.378
6030000000.0,-21.299
6130000000.0,-20.712
6230000000.0,-20.644
6330000000.0,-20.722
6430000000.0,-20.695
6530000000.0,-20.711
6630000000.0,-20.699
6730000000.0,-20.686
6830000000.0,-20.7
6930000000.0,-20.706
7030000000.0,-20.724
7130000000.0,-20.736
7230000000.0,-20.732
7330000000.0,-20.786
7430000000.0,-20.906
7530000000.0,-20.82
7630000000.0,-20.912
7730000000.0,-20.834
7830000000.0,-20.9
7930000000.0,-20.777
8030000000.0,-20.932
8130000000.0,-20.827
8230000000.0,-20.823
8330000000.0,-19.945
8430000000.0,-19.92
8530000000.0,-19.944
8630000000.0,-20.112
8730000000.0,-19.908
8830000000.0,-19.88
8930000000.0,-20.059
9030000000.0,-20.011
9130000000.0,-19.994
9230000000.0,-19.934
9330000000.0,-19.906
9430000000.0,-19.888
9530000000.0,-19.947
9630000000.0,-20.059
9730000000.0,-20.129
9830000000.0,-20.057
9930000000.0,-20.183
10030000000.0,-20.383
10130000000.0,-20.333
10230000000.0,-20.046
10330000000.0,-20.155
10430000000.0,-20.312
10530000000.0,-20.115
10630000000.0,-20.154
10730000000.0,-20.126
10830000000.0,-20.377
10930000000.0,-20.237
11030000000.0,-20.302
11130000000.0,-20.412
11230000000.0,-20.172
11330000000.0,-20.231
11430000000.0,-20.11
11530000000.0,-20.279
11630000000.0,-20.056
11730000000.0,-20.182
11830000000.0,-20.149
11930000000.0,-20.142
12030000000.0,-20.241
12130000000.0,-20.221
12230000000.0,-20.356
12330000000.0,-20.354
12430000000.0,-20.401
12530000000.0,-20.335
12630000000.0,-18.433
12730000000.0,-18.609
12830000000.0,-18.297
12930000000.0,-18.469
13030000000.0,-18.602
13130000000.0,-18.635
13230000000.0,-18.532
13330000000.0,-18.465
13430000000.0,-18.637
13530000000.0,-18.354
13630000000.0,-18.598
13730000000.0,-18.536
13830000000.0,-18.683
13930000000.0,-18.63
14030000000.0,-18.67
14130000000.0,-18.717
14230000000.0,-18.565
14330000000.0,-18.743
14430000000.0,-18.63
14530000000.0,-18.57
14630000000.0,-18.438
14730000000.0,-18.412
14830000000.0,-18.425
14930000000.0,-18.425
15030000000.0,-18.364
15130000000.0,-18.49
15230000000.0,-18.299
15330000000.0,-18.436
15430000000.0,-18.317
15530000000.0,-18.485
15630000000.0,-18.64
15730000000.0,-18.58
15830000000.0,-18.696
15930000000.0,-18.62
16030000000.0,-19.064
16130000000.0,-18.645
16230000000.0,-18.899
16330000000.0,-18.534
16430000000.0,-19.047
16530000000.0,-18.722
16630000000.0,-18.76
16730000000.0,-18.608
16830000000.0,-18.596
16930000000.0,-18.912
17030000000.0,-18.45
17130000000.0,-18.924
17230000000.0,-18.539
17330000000.0,-18.616
17430000000.0,-18.517
17530000000.0,-18.668
17630000000.0,-18.354
17730000000.0,-18.468
17830000000.0,-18.42
17930000000.0,-18.405
