#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: MEDIUM
#	Parameter: ICBO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,-4.9998e-14
1.0,3.35e-12
2.0,5.4501e-12
3.0,6.7499e-12
4.0,8.05e-12
5.0,8.9999e-12
6.0,9.8001e-12
7.0,1.06e-11
8.0,1.13e-11
9.0,1.205e-11
10.0,1.27e-11
11.0,1.325e-11
12.0,1.385e-11
13.0,1.45e-11
14.0,1.51e-11
15.0,1.55e-11
16.0,1.615e-11
17.0,1.69e-11
18.0,1.75e-11
19.0,1.875e-11
20.0,2.1099e-11
21.0,2.165e-11
22.0,2.205e-11
23.0,2.24e-11
24.0,2.2799e-11
25.0,2.315e-11
26.0,2.34e-11
27.0,2.375e-11
28.0,2.405e-11
29.0,2.44e-11
30.0,2.46e-11
31.0,2.49e-11
32.0,2.51e-11
33.0,2.545e-11
34.0,2.555e-11
35.0,2.59e-11
36.0,2.605e-11
37.0,2.635e-11
38.0,2.665e-11
39.0,2.675e-11
40.0,2.695e-11
