#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: LONG
#	Parameter: ICBO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,-9.9996e-14
1.0,2.5e-12
2.0,3.65e-12
3.0,4.4e-12
4.0,5.0999e-12
5.0,5.55e-12
6.0,6.0001e-12
7.0,6.4499e-12
8.0,6.7499e-12
9.0,7.1001e-12
10.0,7.3998e-12
11.0,7.7e-12
12.0,8.05e-12
13.0,8.3502e-12
14.0,8.7001e-12
15.0,9.0501e-12
16.0,9.4e-12
17.0,9.7499e-12
18.0,1.025e-11
19.0,1.125e-11
20.0,1.34e-11
21.0,1.385e-11
22.0,1.41e-11
23.0,1.43e-11
24.0,1.45e-11
25.0,1.47e-11
26.0,1.485e-11
27.0,1.505e-11
28.0,1.52e-11
29.0,1.535e-11
30.0,1.55e-11
31.0,1.565e-11
32.0,1.575e-11
33.0,1.59e-11
34.0,1.605e-11
35.0,1.62e-11
36.0,1.63e-11
37.0,1.645e-11
38.0,1.655e-11
39.0,1.665e-11
40.0,1.675e-11
