#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: SHORT
#	Parameter: ICBO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,0.0
1.0,3.35e-12
2.0,6.0001e-12
3.0,6.65e-12
4.0,7.7999e-12
5.0,9.2499e-12
6.0,1.075e-11
7.0,1.135e-11
8.0,1.2e-11
9.0,1.315e-11
10.0,1.4e-11
11.0,1.515e-11
12.0,1.53e-11
13.0,1.58e-11
14.0,1.62e-11
15.0,1.68e-11
16.0,1.685e-11
17.0,1.835e-11
18.0,1.82e-11
19.0,2e-11
20.0,2.235e-11
21.0,2.34e-11
22.0,2.33e-11
23.0,2.3649e-11
24.0,2.43e-11
25.0,2.46e-11
26.0,2.445e-11
27.0,2.44e-11
28.0,2.455e-11
29.0,2.5499e-11
30.0,2.5999e-11
31.0,2.665e-11
32.0,2.69e-11
33.0,2.745e-11
34.0,2.78e-11
35.0,2.785e-11
36.0,2.83e-11
37.0,2.86e-11
38.0,2.925e-11
39.0,2.8899e-11
40.0,2.98e-11
