#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: LONG
#	Parameter: ICEO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,-1.5e-13
1.0,2.4e-12
2.0,3.5501e-12
3.0,4.4e-12
4.0,5e-12
5.0,5.55e-12
6.0,6.1e-12
7.0,6.7499e-12
8.0,7.5499e-12
9.0,8.7001e-12
10.0,1.055e-11
11.0,1.345e-11
12.0,1.795e-11
13.0,2.47e-11
14.0,3.4151e-11
15.0,4.6301e-11
16.0,6.0648e-11
17.0,7.6199e-11
18.0,9.2001e-11
19.0,1.082e-10
20.0,1.298e-10
21.0,1.5205e-10
22.0,1.7025e-10
23.0,1.839e-10
24.0,1.932e-10
25.0,1.998e-10
26.0,2.0525e-10
27.0,2.094e-10
28.0,2.129e-10
29.0,2.1595e-10
30.0,2.186e-10
31.0,2.211e-10
32.0,2.2345e-10
33.0,2.2595e-10
34.0,2.281e-10
35.0,2.303e-10
36.0,2.326e-10
37.0,2.35e-10
38.0,2.3735e-10
39.0,2.3969e-10
40.0,2.4195e-10
