#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: LONG
#	Parameter: ICBO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,0.0
1.0,2.75e-12
2.0,3.95e-12
3.0,4.7999e-12
4.0,5.4501e-12
5.0,5.9499e-12
6.0,6.35e-12
7.0,6.7999e-12
8.0,7.15e-12
9.0,7.4998e-12
10.0,7.7999e-12
11.0,8.1002e-12
12.0,8.3999e-12
13.0,8.65e-12
14.0,8.8498e-12
15.0,9.15e-12
16.0,9.4497e-12
17.0,9.7499e-12
18.0,1.025e-11
19.0,1.145e-11
20.0,1.275e-11
21.0,1.315e-11
22.0,1.335e-11
23.0,1.355e-11
24.0,1.375e-11
25.0,1.385e-11
26.0,1.4e-11
27.0,1.415e-11
28.0,1.425e-11
29.0,1.44e-11
30.0,1.45e-11
31.0,1.465e-11
32.0,1.475e-11
33.0,1.49e-11
34.0,1.5e-11
35.0,1.51e-11
36.0,1.515e-11
37.0,1.525e-11
38.0,1.54e-11
39.0,1.55e-11
40.0,1.565e-11
