#Procedure: <__main__.LeakageCurrent>
#Parameters:
#	Assignments: E=1,B=2,C=3
#	Integration Time: LONG
#	Parameter: ICEO
#	VCE Current Compliance: 0.01 A
#	VCE Maximum: 40 V
#	VCE Minimum: 0 V
#	VCE Step: 1 V
#Data:
VC,IC
0.0,-4.9999e-13
1.0,2.2e-12
2.0,3.45e-12
3.0,4.3501e-12
4.0,5.05e-12
5.0,5.6999e-12
6.0,6.4e-12
7.0,7.2e-12
8.0,8.3e-12
9.0,9.9498e-12
10.0,1.225e-11
11.0,1.555e-11
12.0,1.985e-11
13.0,2.5e-11
14.0,3.055e-11
15.0,3.6049e-11
16.0,4.1149e-11
17.0,4.55e-11
18.0,4.945e-11
19.0,5.4049e-11
20.0,6.03e-11
21.0,6.5651e-11
22.0,6.9701e-11
23.0,7.2649e-11
24.0,7.4952e-11
25.0,7.665e-11
26.0,7.8149e-11
27.0,7.935e-11
28.0,8.0551e-11
29.0,8.1648e-11
30.0,8.275e-11
31.0,8.3649e-11
32.0,8.47e-11
33.0,8.5801e-11
34.0,8.68e-11
35.0,8.7798e-11
36.0,8.885e-11
37.0,8.9901e-11
38.0,9.0999e-11
39.0,9.2051e-11
40.0,9.3301e-11
